num_ranks,num_phases,epsilon,noise_model,mean_makespan,std_makespan,ci95_makespan,mean_idle_waste,std_idle_waste,mean_amplification,std_amplification,mean_idle_fraction,mean_scaling_efficiency
8,10,0.0100,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
8,10,0.0100,GAUSSIAN,11.048000,0.051205,0.018324,0.447333,0.304256,0.104800,0.005121,0.005049,0.905160
8,10,0.0100,LOGNORMAL,11.048500,0.051506,0.018431,0.451000,0.319529,0.104850,0.005151,0.005089,0.905119
8,10,0.0100,BURSTY,11.164633,0.062932,0.022520,0.773667,0.457191,0.116463,0.006293,0.008641,0.895713
8,10,0.0500,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
8,10,0.0500,GAUSSIAN,11.438833,0.145430,0.052042,5.451833,0.962057,0.143883,0.014543,0.059466,0.874352
8,10,0.0500,LOGNORMAL,11.445067,0.158259,0.056632,5.539933,0.985395,0.144507,0.015826,0.060379,0.873902
8,10,0.0500,BURSTY,11.923667,0.299321,0.107111,5.934300,2.205330,0.192367,0.029932,0.061687,0.839187
8,10,0.1000,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
8,10,0.1000,GAUSSIAN,12.177667,0.183948,0.065825,11.272500,1.344885,0.217767,0.018395,0.115560,0.821357
8,10,0.1000,LOGNORMAL,12.256633,0.210551,0.075345,11.924433,1.496306,0.225663,0.021055,0.121420,0.816116
8,10,0.1000,BURSTY,12.966200,0.798781,0.285840,13.119867,5.616166,0.296620,0.079878,0.123761,0.774038
8,10,0.2000,NONE,11.001000,0.000000,0.000000,0.000000,0.000000,0.100100,0.000000,0.000000,0.909008
8,10,0.2000,GAUSSIAN,13.553733,0.416749,0.149132,22.360200,3.134009,0.355373,0.041675,0.205686,0.738475
8,10,0.2000,LOGNORMAL,13.767967,0.528329,0.189060,24.080033,3.688096,0.376797,0.052833,0.217806,0.727353
8,10,0.2000,BURSTY,14.396967,1.579201,0.565110,23.699367,10.857012,0.439697,0.157920,0.198298,0.702521
8,50,0.0100,NONE,55.001000,0.000000,0.000000,0.000000,0.000000,0.100020,0.000000,0.000000,0.909074
8,50,0.0100,GAUSSIAN,54.793333,0.075794,0.027123,1.265000,0.468252,0.095867,0.001516,0.002885,0.912521
8,50,0.0100,LOGNORMAL,54.791100,0.075755,0.027109,1.239333,0.448391,0.095822,0.001515,0.002827,0.912559
8,50,0.0100,BURSTY,55.306233,0.092610,0.033140,1.584000,0.689436,0.106125,0.001852,0.003578,0.904060
8,50,0.0500,NONE,55.001000,0.000000,0.000000,0.000000,0.000000,0.100020,0.000000,0.000000,0.909074
